一级分类,商品名称,sales_amount,gross_profit,avg_margin_rate,realized_margin_rate
供应链,张巴适 定制不辣辣椒节（武汉）1包20斤装,2.0,2.0,1.0,1.0
供应链,张巴适 定制香辣辣椒节（武汉）1包20斤装,2.0,2.0,1.0,1.0
供应链,经典黑鸭煲 蒸虾蘸汁 25kg/桶,90.0,90.0,1.0,1.0
自用品,加急单服务费,225.0,225.0,1.0,1.0
餐厨百货,霸米  专用打包袋100个/扎,80.0,80.0,1.0,1.0
餐厨百货,19cm长细独立包装透明吸管100支/包,45.0,29.71,0.660222222222222,0.6602222222222223
餐厨百货,26# 纯白加厚打包袋40个/扎,120.0,72.0,0.6,0.6
冻品肉类,【切】筒子骨2kg/袋,486.5,283.5,0.58273381294964,0.5827338129496403
调味品,吃货请留步 小袋外卖陈醋10g*200袋/捆,32.5,18.7,0.575384615384615,0.5753846153846154
海鲜水产,小草鱼杀好（2斤以内）,23.86,13.36,0.559932942162615,0.5599329421626152
调味品,小袋辣椒油7g*100袋/捆,72.0,37.32,0.518333333333333,0.5183333333333333
干杂,紫菜 100g/包,32.0,16.0,0.5,0.5
自用品,大号泡沫箱 打包费用,442.0,207.7,0.469909502262443,0.46990950226244343
餐厨百货,清洁球钢丝球2个/袋,13.15,6.15,0.467680608365019,0.467680608365019
调味品,泡包菜整颗散称【按斤出】,21.0,9.48,0.451428571428571,0.45142857142857146
餐厨百货,84消毒液500ML*30瓶/箱,8.0,3.32,0.415,0.415
蔬果豆制,板栗南瓜（贝贝南瓜）,326.7,132.93,0.406887052341598,0.40688705234159783
蔬果豆制,青菜包子,50.0,20.0,0.4,0.4
蔬果豆制,花卷,15.0,6.0,0.4,0.4
蔬果豆制,粉丝包子,142.0,56.74,0.399577464788732,0.3995774647887324
蔬果豆制,鲜肉包子,17.5,6.96,0.397714285714286,0.3977142857142857
冻品肉类,冰鲜小号墨鱼仔净重约3.15kg/件,330.0,130.0,0.393939393939394,0.3939393939393939
餐厨百货,霸米  专用打包袋500个/件（按件出）,160.0,60.0,0.375,0.375
餐厨百货,得力 24/6订书钉1000枚/盒,18.0,6.6,0.366666666666667,0.36666666666666664
调味品,长舟 加碘盐500g/袋,23.14,8.44,0.364736387208297,0.36473638720829726
调味品,海南 白胡椒粉200g*20包/件-【按包出】,17.1,5.9,0.345029239766082,0.34502923976608185
冻品肉类,太合 鸡胸肉 940g*10包/件,264.0,90.2,0.341666666666667,0.3416666666666667
餐厨百货,万向吸管（按包出）,3.0,1.0,0.333333333333333,0.3333333333333333
冻品肉类,[晓澜]豆腐串20支/袋,1238.0,401.0,0.323909531502423,0.32390953150242324
米面粮油,小米,238.0,76.11,0.319789915966387,0.31978991596638656
冻品肉类,精品涮肉肥牛卷7斤-1.8mm牛肉风味(鸭肉制品),691.8,220.1,0.318155536282163,0.3181555362821625
