一级分类,商品名称,sales_amount,gross_profit,avg_margin_rate,realized_margin_rate
干杂,妙可蓝多 车达芝士片(黄)984g*8包,6669.44,314.44,0.0471463871029652,0.04714638710296517
冻品肉类,CFD清口肉片: 1件30斤6包【散包出】,3247.71,57.4199999999997,0.017680150013394,0.01768015001339396
供应链,鹿香遇卤料1.5kg*10/箱,3060.0,30.0,0.00980392156862745,0.00980392156862745
新鲜水果,【二配】哈密瓜 约19斤/件 按件出,2893.89,116.961,0.0404165327638577,0.04041653276385765
调味品,【自营】CFD 小桶芝麻酱9.4/桶,2460.0,123.0,0.05,0.05
蔬果豆制,【加工菜】小米辣 去柄,2383.4,-521.14,-0.218654023663674,-0.21865402366367373
冻品肉类,冷冻分切廋肉片1kg*10袋/件,2360.0,96.7,0.0409745762711864,0.04097457627118644
冻品肉类,龙鸟 琵琶腿120g-130g 9.7KG/件 （二配）,2352.3,102.3,0.0434893508481061,0.0434893508481061
冻品肉类,有信虾 40/50 12KG/件 二配,2325.0,50.0,0.021505376344086,0.021505376344086023
冻品肉类,蟹黄世家 模拟蟹柳蟹肉棒: 1件20斤20包【散包出】,2175.5,75.5,0.0347046655941163,0.034704665594116293
冻品肉类,CFD鸿芳鱼籽烧: 1件20斤 4包【散包出】,2165.97,65.97,0.0304574855607418,0.03045748556074184
冻品肉类,巴西12513厂 [百丽] 猪手 23-26根 10kg/件 （二配）,2070.0,65.0,0.0314009661835749,0.03140096618357488
冻品肉类,名佑甄品培根:1件24斤8包【散包出】,1978.24,58.24,0.0294403105791006,0.029440310579100615
干杂,CFD B级响铃卷：1件12斤【整箱出】,1962.0,66.0,0.0336391437308869,0.03363914373088685
冻品肉类,CFD扬帆里脊肉:1箱20斤10包【散包出】,1928.5,66.5,0.0344827586206897,0.034482758620689655
干杂,CFD龙口细粉丝:1件14斤【干货整箱出】,1752.0,72.0,0.0410958904109589,0.0410958904109589
冻品肉类,CFD海马鱼籽福袋:1件20斤4包【散包出】,1652.0,20.0,0.0121065375302663,0.012106537530266344
冻品肉类,CFD颂食佳手锤牛肉丸500gx20包【按包出】,1604.4,47.75,0.0297619047619048,0.02976190476190476
冻品肉类,CFD逮虾记红晶虾滑:1件20斤20包【散包出】,1592.5,17.5,0.010989010989011,0.01098901098901099
冻品肉类,安井 冻品先生免浆黑鱼片250g*25包/件（二配）,1564.0,64.0,0.040920716112532,0.04092071611253197
冻品肉类,CFD仟岛凰火山石烤肠70g*10支/袋*20袋/件,1462.5,54.6,0.0373333333333333,0.037333333333333336
米面粮油,超牛堡 车轮牌黄油黄奶油16kg,1420.0,60.0,0.0422535211267606,0.04225352112676056
冻品肉类,CFD釜山鲜鱼饼：1件20斤2包【散包出】,1377.0,42.5,0.0308641975308642,0.030864197530864196
冻品肉类,汇正 牛肉片1kg*10袋/件（霸碗同款）,1320.0,40.0,0.0303030303030303,0.030303030303030304
米面粮油,元宝大豆油 5升/桶,1319.5,43.5,0.032967032967033,0.03296703296703297
冻品肉类,太合 单冻鸡大胸特级9.8kg/件,1311.42,35.42,0.0270088911256501,0.02700889112565006
米面粮油,五得利 特精面粉（五星）25kg/袋,1221.15,36.15,0.0296032428448594,0.02960324284485935
冻品肉类,牛德到 火锅鲜鸭肠1Kg/袋 固形物大于60%,1191.12,21.12,0.0177312109611122,0.017731210961112232
冻品肉类,（自营）冠程小酥肉:1件16斤10包【散包出】,1185.5,52.5,0.0442851117671868,0.044285111767186844
酒水饮料,[可口可乐]小胶瓶汽水 300ml*12瓶,1177.0,43.0,0.0365335598980459,0.03653355989804588
干杂,CFD玉米面:1件泡28斤【干货整箱出】,1162.0,57.0,0.049053356282272,0.04905335628227195
干杂,CFD黄罐午餐肉：1件16斤24罐【整箱出】,1116.0,18.0,0.0161290322580645,0.016129032258064516
冻品肉类,[海欣] 龙虾球 2.5kg/袋,1098.93,10.18,0.00926355636846751,0.00926355636846751
冻品肉类,卤小鸡腿50-60g/个2.5kg/袋,1090.0,51.42,0.0471743119266055,0.047174311926605504
干杂,【自营】CFD-吉川小腊肠珍品香肠9 斤火锅烧烤肠【整箱出】,1065.0,25.0,0.0234741784037559,0.023474178403755867
干杂,CFD桂林米线:（粗米粉）25Kg泡70斤【干货整袋出】,1064.0,24.0,0.0225563909774436,0.022556390977443608
冻品肉类,CFD禾盟水滑肉：1件20斤20包【散包出】,1040.0,16.25,0.015625,0.015625
蔬果豆制,红皮南瓜/金瓜 3个左右  约10斤,1020.0,23.16,0.0227058823529412,0.022705882352941176
冻品肉类,CFD美好香葱肉丸20斤10包【散包出】,986.0,34.0,0.0344827586206897,0.034482758620689655
冻品肉类,CFD虎皮小鸡爪：1件18斤【整箱出】,975.0,0.0,0.0,0.0
米面粮油,如意道长粒香米25kg/包,936.0,40.0,0.0427350427350427,0.042735042735042736
冻品肉类,曾食记 香嫩牛肉1KG*10袋/件,872.01,42.01,0.0481760530269148,0.04817605302691483
干杂,臻汁煌 热饮原磨豆浆粉1kg*16包/件,870.0,36.0,0.0413793103448276,0.041379310344827586
冻品肉类,新盛 单冻鸡大胸10kg/件,861.0,21.0,0.024390243902439,0.024390243902439025
冻品肉类,小龙鱼罗氏沼虾8/10（SL）750g*12盒（二配）,860.16,30.12,0.0350167410714286,0.035016741071428575
冻品肉类,双阳牧原 乡村土鸡/三黄鸡13只,818.6,26.6,0.0324945028096751,0.03249450280967506
冻品肉类,新和盛手撕鸡条 1kg*10袋,772.0,32.0,0.0414507772020725,0.04145077720207254
冻品肉类,CFD玖嘉久三层包心丸:1箱12斤6包【散包出】,737.4,12.45,0.0168836452400325,0.016883645240032545
冻品肉类,CFD海马牛筋丸:1箱20斤20包【散包出】,730.8,18.0,0.0246305418719212,0.024630541871921183
冻品肉类,自营 CFD汉福宫彩虹芝士年糕500g*20袋/件,728.0,22.75,0.03125,0.03125
冻品肉类,CFD安井玉米肠：1件24斤8包【散包出】,712.0,17.09,0.024002808988764,0.024002808988764043
干杂,火锅川粉:1箱泡31斤｛干货整箱出｝,711.0,31.0,0.0436005625879044,0.04360056258790436
冻品肉类,CFD手锤牛筋丸：1箱20斤20包【散包出】,705.6,21.0,0.0297619047619048,0.02976190476190476
餐厨百货,霸米 专用四件套800套/件,680.0,18.68,0.0274705882352941,0.027470588235294118
干杂,CFD清水玉米笋400g*20包/件,665.0,15.0,0.0225563909774436,0.022556390977443608
冻品肉类,海霸王 夹心蟹黄排2.5kg*4包/件【散包出】,649.0,27.5,0.0423728813559322,0.0423728813559322
冻品肉类,海霸王 太湖燕饺:1件20斤4包【散包出】,648.0,30.0,0.0462962962962963,0.046296296296296294
冻品肉类,CFD海马牛肉丸:1件20斤20包【散包出】,639.45,15.75,0.0246305418719212,0.02463054187192118
蔬果豆制,刀豆 新鲜 优质,637.61,-7.76,-0.0121704490205612,-0.012170449020561157
冻品肉类,逮虾记黑虎大粒鲜虾滑 500g*20包/件【散包出】,631.75,4.75,0.0075187969924812,0.007518796992481203
干杂,CFD广味长腊肠:1箱10斤【整箱出】,624.0,24.0,0.0384615384615385,0.038461538461538464
餐厨百货,欧园 1000方乳白300套/件 外卖打包盒餐盒,600.0,16.0,0.0266666666666667,0.02666666666666667
干杂,【自营】CFD-魔芋丝结：1件20斤20包【干货整箱出】,567.0,27.0,0.0476190476190476,0.047619047619047616
冻品肉类,昊明 鸡排腿 300-350g 8.5kg/件,480.0,15.0,0.03125,0.03125
干杂,CFD红薯宽芍粉:1箱泡29斤【干货整箱出】,455.0,21.0,0.0461538461538462,0.046153846153846156
调味品,【按桶出】翠宏经典红油:2.5kg*4桶/件,430.0,10.0,0.0232558139534884,0.023255813953488372
干杂,百利_酸青瓜罐头700g*12瓶/件,376.0,16.0,0.0425531914893617,0.0425531914893617
冻品肉类,鲜美来 40/50冻带头南美白虾1.5kg*6盒/件,370.03,10.03,0.0271059103315947,0.027105910331594735
冻品肉类,CFD毛肚小叶片：1 箱35斤10包【散包出】,342.5,2.5,0.0072992700729927,0.0072992700729927005
冻品肉类,牛德岛-白千层毛肚:1件10包*2.5kg【散包发】,327.0,3.0,0.00917431192660551,0.009174311926605505
冻品肉类,味当鲜 全熟外婆菜1kg*20袋/件,284.43,11.64,0.0409239531694969,0.04092395316949689
干杂,CFD鸡肠段（豆棍）:1袋20斤【干货整袋出】,276.0,12.0,0.0434782608695652,0.043478260869565216
冻品肉类,毛肚小叶片2.5Kg/包净重4斤,274.0,2.0,0.0072992700729927,0.0072992700729927005
冻品肉类,CFD海霸王鱼豆腐:1件20斤4包【散包出】,257.5,12.5,0.0485436893203884,0.04854368932038835
酒水饮料,百事小胶瓶汽水 300ml*12瓶,202.5,-202.5,-1.0,-1.0
米面粮油,元宝大豆油 20千克/桶,191.23,4.22999999999999,0.0221199602572818,0.022119960257281756
餐厨百货,臻汁煌专用（小）K17砂锅32个/件,180.0,6.90000000000001,0.0383333333333334,0.03833333333333339
米面粮油,麟龙 大豆油20L/桶【二配】,174.0,5.0,0.028735632183908,0.028735632183908046
冻品肉类,双汇旺厨 三文治:1件14.4斤4条【散条出】,171.5,5.25,0.0306122448979592,0.030612244897959183
餐厨百货,抽纸巾（蓝花包装）105包/件  餐巾纸,168.0,3.0,0.0178571428571429,0.017857142857142856
冻品肉类,齐赞 香蒸肉排15片*70g*12包/件,163.0,7.96000000000001,0.0488343558282209,0.04883435582822092
酒水饮料,[大窑]荔爱荔枝味汽水 480ml*12瓶,156.0,-9.0,-0.0576923076923077,-0.057692307692307696
酒水饮料,[大窑]冰畅果味汽水 480ml*12瓶,137.4,0.0,0.0,0.0
蔬果豆制,本地香菜,124.0,4.72,0.0380645161290323,0.03806451612903226
餐厨百货,宏泰 600圆配142盖 （碗+盖）透明 600套/箱,110.0,5.0,0.0454545454545455,0.045454545454545456
冻品肉类,牛德岛-白丝千层肚:1件10包*2.5kg【散包发】,109.0,1.0,0.00917431192660551,0.009174311926605505
酒水饮料,[红牛]维生素功能饮料 250ml*24罐,107.0,0.0,0.0,0.0
新鲜水果,黄圣女果,102.41,-8.09,-0.0789961917781467,-0.07899619177814667
酒水饮料,[红牛]维生素牛磺酸饮料 250ml*24罐,94.0,0.0,0.0,0.0
酒水饮料,零度可口可乐（无糖可乐） 330ml*24罐/件,90.88,4.28,0.0470950704225352,0.04709507042253522
调味品,紫林 精酿老陈醋2.2L/壶,83.5,3.5,0.0419161676646707,0.041916167664670656
米面粮油,五得利 高精面粉（四星）25kg/袋,79.88,2.88,0.0360540811216825,0.03605408112168253
冻品肉类,CFD啊发伯培根: 1件24斤8包【散包出】,77.0,2.0,0.025974025974026,0.025974025974025976
供应链,臻汁煌工作服（冬）2XL,66.0,1.0,0.0151515151515152,0.015151515151515152
餐厨百货,【自营】臻汁煌 独立筷子5.5-1500,60.0,2.0,0.0333333333333333,0.03333333333333333
冻品肉类,[安井]夹心蟹味排2.5kg*4包 火锅食材蟹排,56.0,2.0,0.0357142857142857,0.03571428571428571
酒水饮料,乌苏 啤酒500ml*12听/件,52.0,0.0,0.0,0.0
酒水饮料,[统一]绿茶 1L*8瓶,46.0,0.0,0.0,0.0
干杂,鹿茸菇 500g/包,33.5,1.5,0.0447761194029851,0.04477611940298507
冻品肉类,升隆金黄脆骨丸2.5kg*4包/件,32.5,1.25,0.0384615384615385,0.038461538461538464
酒水饮料,康师傅 冰红茶500ml*15瓶,31.0,0.0,0.0,0.0
蔬果豆制,菜心（普通）,28.21,1.2,0.0425381070542361,0.042538107054236086
冻品肉类,海欣方块鱼豆腐2.5kg*4/件,27.5,1.0,0.0363636363636364,0.03636363636363636
餐厨百货,锡纸（筒装）50米,25.0,0.0,0.0,0.0
蔬果豆制,毛豆（不剪角）,24.0,-0.0899999999999989,-0.00374999999999995,-0.0037499999999999543
酒水饮料,美汁源  果粒橙1.25L*12瓶/件,10.8,-1.2,-0.111111111111111,-0.1111111111111111
酒水饮料,[达利园]益生菌 340ml*12瓶,7.2,-0.8,-0.111111111111111,-0.11111111111111112
