一级分类,商品名称,sales_amount,gross_profit,avg_margin_rate,realized_margin_rate
蔬果豆制,【加工菜】小米辣 去柄,2383.4,-521.14,-0.218654023663674,-0.21865402366367373
冻品肉类,CFD虎皮小鸡爪：1件18斤【整箱出】,975.0,0.0,0.0,0.0
蔬果豆制,刀豆 新鲜 优质,637.61,-7.76,-0.0121704490205612,-0.012170449020561157
酒水饮料,百事小胶瓶汽水 300ml*12瓶,202.5,-202.5,-1.0,-1.0
酒水饮料,[大窑]荔爱荔枝味汽水 480ml*12瓶,156.0,-9.0,-0.0576923076923077,-0.057692307692307696
酒水饮料,[大窑]冰畅果味汽水 480ml*12瓶,137.4,0.0,0.0,0.0
酒水饮料,[红牛]维生素功能饮料 250ml*24罐,107.0,0.0,0.0,0.0
新鲜水果,黄圣女果,102.41,-8.09,-0.0789961917781467,-0.07899619177814667
酒水饮料,[红牛]维生素牛磺酸饮料 250ml*24罐,94.0,0.0,0.0,0.0
酒水饮料,乌苏 啤酒500ml*12听/件,52.0,0.0,0.0,0.0
酒水饮料,[统一]绿茶 1L*8瓶,46.0,0.0,0.0,0.0
酒水饮料,康师傅 冰红茶500ml*15瓶,31.0,0.0,0.0,0.0
餐厨百货,锡纸（筒装）50米,25.0,0.0,0.0,0.0
蔬果豆制,毛豆（不剪角）,24.0,-0.0899999999999989,-0.00374999999999995,-0.0037499999999999543
酒水饮料,美汁源  果粒橙1.25L*12瓶/件,10.8,-1.2,-0.111111111111111,-0.1111111111111111
酒水饮料,[达利园]益生菌 340ml*12瓶,7.2,-0.8,-0.111111111111111,-0.11111111111111112
